"variable","label","class"
"i0_29","In the LAST 30 DAYS, how many hours per week have you worked with a monetary com","haven_labelled"
"i0_30","Why havenâ€™t you worked with a monetary compensation in the LAST 30 DAYS?","haven_labelled"
"i0_31","How would you evaluate your current ability to work?","haven_labelled"
"i0_31_1","Give a score between 1 and 10 for your current ability to work.","haven_labelled"
"i0_32","Are you retired?","haven_labelled"
"i17_1","Does your retirement benefit come from the social security (INSS)?","haven_labelled"
"i17_2","Does your retirement benefit come from the Rural Worker Assistance Fund (FUNRURA","haven_labelled"
"i17_3","Does your retirement benefit  come from the Municipal Public Sector?","haven_labelled"
"i17_4","Does your retirement benefit come from the State Public Sector?","haven_labelled"
"i17_5","Does your retirement benefit come from the Federal Public Sector?","haven_labelled"
"i17_6","Is your retirement benefit private or do you receive a private retirement supple","haven_labelled"
"i17_7","Do you receive a death benefit from your spouse or parent?","haven_labelled"
"i18","How old were you when you retired?","haven_labelled"
"i19","What was the reason for your retirement?","haven_labelled"
"i19_1","How has retirement been for you?","haven_labelled"
"i20_0","Do you or your employer contributes to the social security (INSS), or do you pay","haven_labelled"
"i20"," At what age are you planning to retire?","haven_labelled"
"i20_1","Are you concerned that your health will limit your ability to work before you ha","haven_labelled"
"i21","What are you planning to do when you retire?","haven_labelled"
"i23_1","To support yourself in the future, do you contribute to public or private pensio","haven_labelled"
"i23_2","To support yourself in the future, will you use savings or financial investments","haven_labelled"
"i23_3","To support yourself in the future, will you have income from rented properties?","haven_labelled"
"i23_4","To support yourself in the future, will you sell any of your assets?","haven_labelled"
"i23_5","To support yourself in the future, will you rely on the help of your children or","haven_labelled"
"i23_6","To support yourself in the future, do you expect to receive pension or social be","haven_labelled"
"i23_7","To support yourself in the future, do you plan to start contributing to social s","haven_labelled"
"i23_8_1"," To support yourself in the future, will you receive a retirement or pension fro","haven_labelled"
"i23_8","Do you have not thought about to support yourself in the future yet?","haven_labelled"
"i25","In the last 30 days, how many hours per week have you devoted to unpaid activiti","haven_labelled"
"i26","How do you evaluate your life at this point in terms of income or work?","haven_labelled"
"i27","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"k0","In the LAST 30 DAYS, have you taken care of someone in your family?","haven_labelled"
"k0_1"," In the LAST 30 DAYS, for how many hours did you take care of this person?","haven_labelled"
"k1","In the last 90 days, have you financially helped for a family member that does n","haven_labelled"
"k2_1","Did you help your son, daughter or son-in-law or daughter-in-law?","haven_labelled"
"k2_2","Did you help your grandson, granddaughter or great-grandson, great-granddaughter","haven_labelled"
"k2_3","Did you help your parents or parents-in-law?","haven_labelled"
"k2_4","Did you help any other family member?","haven_labelled"
"k3","In the last 90 days, how much have you spent with these aids?","haven_labelled"
"k4","Approximately, how much was spent with these aids?","haven_labelled"
"k5","In the last 90 days, have you received financial aid from a family member who do","haven_labelled"
"k6","In the last 90 days, how much have you received with these aids?","haven_labelled"
"k7","Approximately, how much have you received with these aids?","haven_labelled"
"k8","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"l1","How often do you do vigorous physical activities?","haven_labelled"
"l2","How often do you do moderate physical activities?","haven_labelled"
"l3"," How often do you do low-intensity physical activities?","haven_labelled"
"l5","On how many days of the last week did you walk for at least 10 consecutive minut","haven_labelled"
"l6_1","On the days that you walk for at least 10 consecutive minutes, how many HOURS, i","haven_labelled"
"l6_2","On the days that you walk for at least 10 consecutive minutes, how many MINUTES,","haven_labelled"
"l7","On how many days of the last week did you perform moderate activities for at lea","haven_labelled"
"l8_1","On the days that you perform these MODERATE ACTIVITIES for at least 10 consecuti","haven_labelled"
"l8_2","On the days that you perform these MODERATE ACTIVITIES for at least 10 consecuti","haven_labelled"
"l9","On how many days of the last week did you perform vigorous activities for at lea","haven_labelled"
"l10_1","On the days that you perform these VIGOROUS ACTIVITIES for at least 10 consecuti","haven_labelled"
"l10_2","On the days that you perform these VIGOROUS ACTIVITIES for at least 10 consecuti","haven_labelled"
"l11_1","How many HOURS PER DAY do you STAY SEATED in a typical DAY of the week?","haven_labelled"
"l11_2","How many MINUTES PER DAY do you STAY SEATED in a typical DAY of the week?","haven_labelled"
"l12_1","How many hours per day do you stay seated in a weekend?","haven_labelled"
"l12_2","How many minutes per day do you stay seated in a weekend?","haven_labelled"
"l13","Do you know any public program in your municipality that encourages the practice","haven_labelled"
"l14","Do you participate in this program?","haven_labelled"
"l14_1","On how many days of the week do you usually eat beans?","haven_labelled"
"l14_2","In general,how many times a day do you usually eat beans?","haven_labelled"
"l14_3","On a typical day, how many servings of beans do you eat?","haven_labelled"
"l15","On how many days of the week do you usually eat greens or vegetables?","haven_labelled"
"l16","In general, how many times a day do you usually eat greens or vegetables?","haven_labelled"
"l16_1"," On a typical day, how many servings of greens or vegetables do you eat?","haven_labelled"
"l17","On how many days of the week do you usually drink natural fruit juice?","haven_labelled"
"l18","In general, how many times a day do you drink natural fruit juice?","haven_labelled"
"l18_1","On a typical day, how many glasses of natural fruit juice do you drink?","haven_labelled"
"l19","On how many days of the week do you usually eat fruits?","haven_labelled"
"l20","In general, how many times a day do you eat fruits?","haven_labelled"
"l20_1","On a typical day, how many servings of fruits do you eat?","haven_labelled"
"l21","On how many days of the week do you usually eat red meat?","haven_labelled"
"l22","On how many days of the week do you usually eat poultry?","haven_labelled"
"l23","On how many days of the week do you usually eat fish?","haven_labelled"
"l23_1"," Considering freshly prepared and processed foods, do you think your salt intake","haven_labelled"
"l24","How often do you usually drink any alcoholic beverage?","haven_labelled"
"l25","In the LAST 3 MONTHS, how many DAYS OF THE WEEK did you drink any alcoholic beve","haven_labelled"
"l26","In the LAST 3 MONTHS, on the day that you drank an ALCOHOLIC BEVERAGE, how many","haven_labelled"
"l28","MEN: in the LAST 30 DAYS, have you consumed 5 doses or more of an alcoholic beve","haven_labelled"
"l29","WOMEN: in the LAST 30 DAYS, have you consumed 4 doses or more of an alcoholic be","haven_labelled"
"l30_0","In your lifetime, have you smoked at least 100 cigarettes?","haven_labelled"
"l30","Do you currently smoke?","haven_labelled"
"l30_1","CURRENTLY, how many cigarettes do you usually smoke per day?","haven_labelled"
"l33","How old were you when you started smoking regularly?","haven_labelled"
"l31","Have you smoked in the past?","haven_labelled"
"l32","How long ago have you stopped smoking?","haven_labelled"
"l32_2","When you smoked the most, how many cigarettes did you usually smoke per day?","haven_labelled"
"l39","Was this section answered with someone elseâ€™s assistance?","haven_labelled"
"m2","At what age did you get your first period?","haven_labelled"
"m3","Do you still get your periods?","haven_labelled"
"m4_1","What interval comes closest to the age at which you stopped getting your periods","haven_labelled"
"m5","Have you ever done hormone therapy to relieve menopausal symptoms?","haven_labelled"
"m6","For how long have you done hormone therapy to relieve menopausal symptoms?","haven_labelled"
